'hood#n	08641944n
's_gravenhage#n	08950407n
'tween#r	00250898r
'tween_decks#r	00498293r
.22#n	04502851n
.22-caliber#a	03146310a
.22-calibre#a	03146310a
.22_caliber#a	03146310a
.22_calibre#a	03146310a
.38-caliber#a	03146602a
.38-calibre#a	03146602a
.38_caliber#a	03146602a
.38_calibre#a	03146602a
.45-caliber#a	03146895a
.45-calibre#a	03146895a
.45_caliber#a	03146895a
.45_calibre#a	03146895a
0#n	13742358n
0#a	02186132a
1#n	13742573n
1#a	02186338a
1-dodecanol#n	14930670n
1-hitter#n	00475142n
10#n	13746512n
10#a	02187296a
10-membered#a	01503760a
100#n	13750415n
100#a	02196107a
1000#n	13750844n
1000#a	02198752a
10000#n	13751265n
100000#n	13751404n
1000000#n	13751533n
1000000000#n	13751829n
1000000000000#n	13752443n
1000th#a	02212473a
100th#a	02209423a
101#a	02196211a
101st#a	02209551a
105#a	02196333a
105th#a	02209678a
10th#a	02203373a
11#n	13746672n
11#a	02187379a
11-plus#n	00637145n
110#a	02196439a
110th#a	02209806a
115#a	02196543a
115th#a	02209933a
11_november#n	15185837n
11th#a	02203500a
12#n	13746785n
12#a	02187465a
12-tone_music#n	07057539n
12-tone_system#n	07057539n
120#n	13750574n
120#a	02196657a
120th#a	02210068a
125#a	02196769a
125th#a	02210202a
12th#a	02203629a
13#n	13747199n
13#a	02187606a
130#a	02196891a
130th#a	02210344a
135#a	02197007a
135th#a	02210478a
13th#a	02203763a
14#n	13747348n
14#a	02187699a
140#a	02197130a
140th#a	02210620a
144#n	13750504n
145#a	02197244a
145th#a	02210752a
14_july#n	15200493n
14th#a	02203868a
15#n	13747469n
15#a	02187793a
150#a	02197364a
150th#a	02210892a
1530s#n	15148787n
155#a	02197476a
155th#a	02211024a
15_august_1945#n	15162882n
15_may_organization#n	08039312n
15_minutes#n	15228267n
15th#a	02203976a
16#n	13747606n
16#a	02187903a
160#a	02197595a
160th#a	02211164a
165#a	02197708a
165th#a	02211296a
16_pf#n	06475933n
16th#a	02204131a
17#n	13747725n
17#a	02187995a
170#a	02197828a
170th#a	02211436a
1728#n	13751158n
175#a	02197944a
1750s#n	15149933n
175th#a	02211572a
1760s#n	15150304n
1770s#n	15150790n
1780s#n	15151175n
1790s#n	15151561n
17_november#n	08042536n
17th#a	02204237a
18#n	13747865n
18#a	02188108a
18-karat_gold#n	14639269n
180#a	02198069a
180th#a	02211716a
1820s#n	15148958n
1830s#n	15149271n
1840s#n	15149562n
1850s#n	15149853n
1860s#n	15150224n
1870s#n	15150710n
1880s#n	15151084n
1890s#n	15151470n
18th#a	02204363a
19#n	13747989n
19#a	02188205a
190#a	02198187a
1900s#n	15148707n
190th#a	02211850a
1920s#n	15148867n
1930s#n	15149180n
1940s#n	15149472n
1950s#n	15149763n
1960s#n	15150134n
1970s#n	15150618n
1980s#n	15150993n
1990s#n	15151379n
19th#a	02204472a
1_chronicles#n	06435651n
1_esdras#n	06459978n
1_kings#n	06435004n
1_maccabees#n	06460776n
1_samuel#n	06434650n
1st#a	02202047a
1st-class_mail#n	06265272n
1st_baron_beaverbrook#n	10839791n
1st_baron_verulam#n	10830456n
1st_class#n	06265272n
1st_earl_attlee#n	10827873n
1st_earl_baldwin_of_bewdley#n	10832085n
1st_earl_of_balfour#n	10832568n
1st_lieutenant#n	10092978n
1st_viscount_montgomery_of_alamein#n	11188316n
2#n	13743269n
